,Name,POS,Age,HT,WT,Exp,College,team
192,Josh Nurse,CB,--,"6' 3""",200 lbs,R,Utah,Ravens
193,Marcus Peters24,CB,27,"6' 0""",195 lbs,6,Washington,Ravens
194,Jimmy Smith22,CB,31,"6' 2""",210 lbs,10,Colorado,Ravens
195,Tavon Young25,CB,26,"5' 9""",185 lbs,5,Temple,Ravens
196,Chuck Clark36,S,25,"6' 0""",205 lbs,4,Virginia Tech,Ravens
197,DeShon Elliott32,S,23,"6' 0""",210 lbs,3,Texas,Ravens
198,Jeff Hector,S,--,"6' 0""",185 lbs,R,Redlands,Ravens
199,Anthony Levine Sr.41,S,33,"5' 11""",207 lbs,9,Tennessee State,Ravens
200,Jordan Richards28,S,27,"5' 11""",210 lbs,6,Stanford,Ravens
201,Geno Stone9,S,21,"5' 10""",210 lbs,R,Iowa,Ravens
202,Earl Thomas III29,S,30,"5' 10""",220 lbs,11,Texas,Ravens
203,Nigel Warrior,S,--,"6' 0""",190 lbs,R,Tennessee,Ravens
204,Andrew Brown93,DE,24,"6' 3""",290 lbs,2,Virginia,Bengals
205,Carlos Dunlap96,DE,31,"6' 6""",285 lbs,11,Florida,Bengals
206,Sam Hubbard94,DE,24,"6' 5""",265 lbs,3,Ohio State,Bengals
207,Khalid Kareem90,DE,22,"6' 4""",265 lbs,R,Notre Dame,Bengals
208,Carl Lawson58,DE,24,"6' 2""",265 lbs,4,Auburn,Bengals
209,D.J. Reader98,DE,25,"6' 3""",347 lbs,5,Clemson,Bengals
210,Freedom Akinmoladun92,DT,24,"6' 3""",286 lbs,1,Nebraska,Bengals
211,Geno Atkins97,DT,32,"6' 1""",300 lbs,11,Georgia,Bengals
212,Tyler Clark69,DT,--,"6' 4""",300 lbs,R,Georgia,Bengals
213,Trey Dishon,DT,--,"6' 2""",311 lbs,R,Kansas State,Bengals
214,Ryan Glasgow98,DT,26,"6' 3""",300 lbs,4,Michigan,Bengals
215,Josh Tupou91,DT,26,"6' 3""",345 lbs,4,Colorado,Bengals
216,Renell Wren95,DT,24,"6' 5""",318 lbs,2,Arizona State,Bengals
217,Markus Bailey51,LB,23,"6' 1""",240 lbs,R,Purdue,Bengals
218,Josh Bynes56,LB,30,"6' 1""",235 lbs,10,Auburn,Bengals
219,Austin Calitro47,LB,26,"6' 0""",240 lbs,3,Villanova,Bengals
220,Akeem Davis-Gaither59,LB,22,"6' 2""",215 lbs,R,Appalachian State,Bengals
221,Jordan Evans50,LB,25,"6' 3""",242 lbs,4,Oklahoma,Bengals
222,Kendall Futrell44,LB,--,"6' 2""",226 lbs,R,East Carolina,Bengals
223,Germaine Pratt57,LB,23,"6' 3""",245 lbs,2,North Carolina State,Bengals
224,Brady Sheldon45,LB,27,"6' 5""",231 lbs,1,Ferris State,Bengals
225,Marcel Spears Jr.52,LB,22,"6' 0""",221 lbs,R,Iowa State,Bengals
226,Logan Wilson55,LB,23,"6' 2""",241 lbs,R,Wyoming,Bengals
227,Mackensie Alexander21,CB,26,"5' 10""",192 lbs,5,Clemson,Bengals
228,Tony Brown27,CB,24,"6' 0""",199 lbs,3,Alabama,Bengals
229,William Jackson III22,CB,27,"6' 0""",196 lbs,5,Houston,Bengals
230,Greg Mabin29,CB,25,"6' 2""",195 lbs,4,Iowa,Bengals
231,Torry McTyer20,CB,25,"5' 11""",188 lbs,4,UNLV,Bengals
232,Darius Phillips24,CB,24,"5' 10""",190 lbs,3,Western Michigan,Bengals
233,Winston Rose24,CB,26,"6' 0""",180 lbs,1,New Mexico State,Bengals
234,LeShaun Sims38,CB,26,"6' 0""",203 lbs,5,Southern Utah,Bengals
235,Isiah Swann25,CB,--,"6' 0""",195 lbs,R,Dartmouth,Bengals
236,Trae Waynes26,CB,27,"6' 0""",190 lbs,6,Michigan State,Bengals
237,Jessie Bates III30,S,23,"6' 1""",200 lbs,3,Wake Forest,Bengals
238,Vonn Bell24,S,25,"5' 11""",205 lbs,5,Ohio State,Bengals
239,Trayvon Henderson41,S,24,"6' 0""",205 lbs,2,Hawai'i',Bengals
240,Shawn Williams36,S,28,"6' 0""",212 lbs,8,Georgia,Bengals
241,Brandon Wilson40,S,25,"5' 10""",200 lbs,4,Houston,Bengals
242,Adrian Clayborn99,DE,31,"6' 3""",280 lbs,10,Iowa,Browns
243,Myles Garrett95,DE,24,"6' 4""",272 lbs,4,Texas A&M,Browns
244,Porter Gustin97,DE,23,"6' 5""",267 lbs,2,USC,Browns
245,Robert McCray52,DE,24,"6' 2""",280 lbs,1,Indiana,Browns
246,George Obinna,DE,--,"6' 3""",240 lbs,R,Sacramento State,Browns
247,Chad Thomas92,DE,24,"6' 5""",278 lbs,3,Miami (FL),Browns
248,Olivier Vernon54,DE,29,"6' 2""",262 lbs,9,Miami (FL),Browns
249,Jeffery Whatley,DE,--,"6' 2""",300 lbs,R,South Alabama,Browns
250,Trevon Young59,DE,25,"6' 4""",259 lbs,2,Louisville,Browns
251,Eli Ankou91,DT,25,"6' 3""",325 lbs,4,UCLA,Browns
252,Andrew Billings99,DT,25,"6' 1""",328 lbs,5,Baylor,Browns
253,Brandin Bryant90,DT,26,"6' 2""",289 lbs,1,Florida Atlantic,Browns
