,GP,TACKLES_SOLO,TACKLES_AST,TACKLES_TOT,SACKS,SACKS_SCKYDS,SACKS_TFL,INTERCEPTIONS_PD,INTERCEPTIONS_INT,INTERCEPTIONS_YDS,INTERCEPTIONS_LNG,INTERCEPTIONS_TD,FUMBLES_FF,FUMBLES_FR,FUMBLES_FTD,KB,PlayerID
236,15,4,3,7,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Cethan Carter82
237,15,5,1,6,0.0,0,0.0,1,0,0,0,0,0,0,0,0,LaRoy Reynolds59
238,11,4,1,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Stanley Morgan17
239,4,3,2,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Anthony Zettel92
240,1,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Anthony Zettel92
241,8,4,1,5,0.0,0,0.0,7,4,82,28,0,0,0,0,0,Darius Phillips24
242,6,3,1,4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Samaje Perine
243,16,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Tyler Eifert88
244,16,3,0,3,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Tyler Boyd83
245,16,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Trey Hopkins66
246,9,2,0,2,0.0,0,0.0,1,0,0,0,0,0,0,0,0,Greg Mabin29
247,5,2,0,2,0.0,0,1.0,0,0,0,0,0,0,0,0,0,Torry McTyer20
248,13,2,0,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Andy Dalton
249,16,1,1,2,0.0,0,0.0,0,0,0,0,0,0,0,0,0,C.J. Uzomah87
250,9,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Drew Sample89
251,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Alex Erickson12
252,8,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,John Ross III11
253,4,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Trayvon Henderson41
254,6,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Andre Smith57
255,6,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Andre Smith76
256,16,5,0,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Andre Smith57
257,16,5,0,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Andre Smith76
258,16,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,Giovani Bernard25
259,13,0,1,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,John Miller67
260,16,89,44,133,2.0,19,6.5,9,4,24,20,0,2,1,0,0,Joe Schobert47
261,16,57,25,82,1.0,8,5.0,7,1,21,21,0,1,0,0,0,Mack Wilson51
262,16,43,19,62,3.0,17,5.5,4,0,0,0,0,3,0,0,0,Sheldon Richardson98
263,11,45,16,61,2.5,13,3.5,6,0,0,0,0,0,0,0,0,Damarious Randall23
264,16,40,12,52,1.0,3,4.0,4,1,0,0,0,1,1,0,0,T.J. Carrie38
265,15,35,15,50,5.5,40,10.0,1,0,0,0,0,0,0,0,0,Larry Ogunjobi65
266,12,37,10,47,0.0,0,3.0,2,0,0,0,0,0,0,0,0,Greedy Williams26
267,12,38,6,44,0.0,0,1.0,11,2,61,61,1,0,1,0,1,Denzel Ward21
268,14,26,6,32,1.0,14,3.5,7,2,42,27,0,1,0,0,0,Juston Burris31
269,10,20,9,29,10.0,63,13.0,0,0,0,0,0,2,0,0,0,Myles Garrett95
270,10,20,6,26,3.5,24,5.5,0,0,0,0,0,1,0,0,0,Olivier Vernon54
271,16,17,9,26,4.0,32,5.0,1,0,0,0,0,0,1,0,0,Chad Thomas92
272,9,15,9,24,1.0,4,3.5,1,0,0,0,0,0,0,0,0,Eric Murray22
273,15,17,4,21,0.0,0,2.0,3,1,28,28,0,0,0,0,0,Terrance Mitchell39
274,15,14,7,21,0.0,0,0.5,0,0,0,0,0,0,0,0,0,Sione Takitaki44
275,6,7,6,13,1.0,10,1.0,0,0,0,0,0,0,1,0,0,Porter Gustin97
