PlayerID,Salary
Braden Smith72,806986
Richard Rodgers82,805000
David Fales3,805000
Jordan Richards28,805000
Lane Johnson65,805000
Vince Williams98,805000
De'Anthony Thomas16,805000
Phillip Gaines29,805000
Danny Shelton71,805000
A.J. Cann60,805000
Nick Williams97,805000
Trey Flowers90,805000
Terrence Brooks25,805000
Tyler Shatley69,805000
James O'Shaughnessy80,805000
Dakota Dozier78,805000
Bashaud Breeland21,805000
Blake Bell80,805000
John Jenkins,805000
Benson Mayowa91,805000
Levine Toilolo85,805000
Joe Cardona49,805000
Blidi Wreh-Wilson33,805000
Sean Mannion4,805000
Cedric Ogbuehi74,805000
Justin Coleman27,805000
Xavier Su'a-Filo76,805000
Kevin Pierre-Louis57,805000
Rod Smith34,805000
Jordan Devey65,805000
Andrew Donnal76,805000
Bradley Pinion8,805000
Greg Van Roten73,805000
Kevin Minter51,805000
Nate Orchard54,805000
Maxx Williams87,805000
Jesse James83,805000
Jaylen Watkins27,805000
Jeremiah Attaochu97,805000
Alex Okafor97,805000
Frank Clark55,805000
Geremy Davis11,805000
Logan Thomas82,805000
Chris Conley18,805000
Charley Hughlett47,805000
Rakeem Nunez-Roches56,805000
Luke Willson82,805000
Daniel Brown87,805000
Dontae Johnson27,805000
Ben Garland63,805000
Tyeler Davison96,805000
LaRoy Reynolds59,805000
Ben Powers72,802500
Michael Palardy2,800000
Sheldrick Redwine29,800000
James Daniels68,795916
Dan Feeney66,793000
Isaiah Johnson31,792500
Courtland Sutton14,790996
Mike Gesicki88,780542
Marcus Davenport92,779632
Kerryon Johnson33,775622
Alex Tanney3,775000
Taywan Taylor10,773500
Dante Pettis18,770934
Josh Jackson37,764368
Jordan Willis60,754750
Ben Braunecker82,750000
Eric Tomlinson83,750000
Isaac Seumalo73,749000
Christian Kirk13,747948
Uchenna Nwosu42,741799
Chris Wormley93,736000
Nick Vannett88,736000
Dallas Goedert88,735649
Connor Williams52,729500
Duke Riley50,726500
Anthony Miller17,723350
Sheldon Day91,720000
Joel Heath93,720000
Anthony Zettel92,720000
Tyrell Adams50,720000
Kamu Grugier-Hill54,720000
Ted Karras75,720000
Tyler Ervin32,720000
Stephen Weatherly91,720000
Rick Lovato45,720000
Hassan Ridgeway98,720000
Pharoh Cooper14,720000
Ameer Abdullah31,720000
T.J. Green24,720000
