,Rank,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN,Year,PlayerID
221,59,18,3,5.0,0,0,1,2,1,15,84.8,5.7,11.5%,2017,Derek Barnett96
222,143,11,5,2.5,0,0,0,0,0,6,44.4,7.4,11.5%,2018,Derek Barnett96
223,46,25,5,6.5,0,0,2,0,0,14,100.5,7.2,11.5%,2019,Derek Barnett96
224,37,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.1%,2013,Solomon Thomas94
225,401,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.1%,2014,Solomon Thomas94
226,374,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.1%,2015,Solomon Thomas94
227,338,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.1%,2016,Solomon Thomas94
228,42,34,7,3.0,0,0,0,1,0,14,97.5,7.0,4.1%,2017,Solomon Thomas94
229,123,24,7,1.0,0,0,0,0,0,16,52.9,3.3,4.1%,2018,Solomon Thomas94
230,155,15,6,2.0,0,0,0,0,0,16,42.8,2.7,4.1%,2019,Solomon Thomas94
231,38,0,0,0.0,0,0,0,0,0,0,0.0,0.0,30.1%,2013,Jonathan Allen93
232,399,0,0,0.0,0,0,0,0,0,0,0.0,0.0,30.1%,2014,Jonathan Allen93
233,375,0,0,0.0,0,0,0,0,0,0,0.0,0.0,30.1%,2015,Jonathan Allen93
234,339,0,0,0.0,0,0,0,0,0,0,0.0,0.0,30.1%,2016,Jonathan Allen93
235,227,3,7,1.0,0,0,0,0,0,5,16.0,3.2,30.1%,2017,Jonathan Allen93
236,21,34,26,8.0,0,0,0,0,0,16,131.9,8.2,30.1%,2018,Jonathan Allen93
237,23,46,22,6.0,1,0,0,1,0,15,132.9,8.9,30.1%,2019,Jonathan Allen93
238,39,0,0,0.0,0,0,0,0,0,0,0.0,0.0,52.3%,2013,Myles Garrett95
239,397,0,0,0.0,0,0,0,0,0,0,0.0,0.0,52.3%,2014,Myles Garrett95
240,368,0,0,0.0,0,0,0,0,0,0,0.0,0.0,52.3%,2015,Myles Garrett95
241,333,0,0,0.0,0,0,0,0,0,0,0.0,0.0,52.3%,2016,Myles Garrett95
242,40,19,12,7.0,1,0,1,1,0,11,99.9,9.1,52.3%,2017,Myles Garrett95
243,13,35,9,13.5,3,0,3,0,0,16,160.0,10.0,52.3%,2018,Myles Garrett95
244,36,20,9,10.0,0,0,2,0,0,10,112.4,11.2,52.3%,2019,Myles Garrett95
245,40,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.5%,2013,Carl Lawson58
246,382,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.5%,2014,Carl Lawson58
247,384,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.5%,2015,Carl Lawson58
248,391,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.5%,2016,Carl Lawson58
249,90,10,6,8.5,0,0,0,0,0,16,66.9,4.2,4.5%,2017,Carl Lawson58
250,350,4,2,1.0,0,0,0,0,0,7,0.0,0.0,4.5%,2018,Carl Lawson58
251,329,17,6,5.0,0,0,0,0,0,12,0.0,0.0,4.5%,2019,Carl Lawson58
252,41,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Joey Ivie96
253,337,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Joey Ivie96
254,345,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Joey Ivie96
255,402,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Joey Ivie96
256,355,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Joey Ivie96
257,316,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Joey Ivie96
258,285,0,2,0.0,0,0,0,0,0,8,1.6,0.2,0.0%,2019,Joey Ivie96
259,42,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Eddie Vanderdoes95
260,330,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Eddie Vanderdoes95
261,346,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Eddie Vanderdoes95
262,398,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Eddie Vanderdoes95
263,189,13,5,0.0,0,0,0,0,0,16,28.5,1.8,0.0%,2017,Eddie Vanderdoes95
264,346,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Eddie Vanderdoes95
265,236,5,3,0.0,0,0,0,0,0,3,9.8,3.3,0.0%,2019,Eddie Vanderdoes95
266,43,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Treyvon Hester
267,329,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Treyvon Hester
268,347,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Treyvon Hester
269,403,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Treyvon Hester
270,190,9,10,0.0,0,0,1,0,0,14,28.5,2.0,0.0%,2017,Treyvon Hester
271,187,8,5,1.0,0,0,0,0,0,12,24.9,2.1,0.0%,2018,Treyvon Hester
