,Rank,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN,Year,PlayerID
310,602,0,0,0.0,0,0,0,0,0,0,0.0,0.0,17.5%,2018,Jeff Okudah1
311,603,0,0,0.0,0,0,0,0,0,0,0.0,0.0,17.5%,2019,Jeff Okudah1
312,176,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Shakial Taylor38
313,729,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Shakial Taylor38
314,714,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Shakial Taylor38
315,669,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Shakial Taylor38
316,632,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Shakial Taylor38
317,591,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Shakial Taylor38
318,285,6,1,0.0,1,0,0,0,0,5,11.3,2.3,0.0%,2019,Shakial Taylor38
319,177,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,A.J. Green
320,177,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,A.J. Green18
321,346,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,A.J. Green
322,346,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,A.J. Green18
323,363,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,A.J. Green
324,363,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,A.J. Green18
325,395,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,A.J. Green
326,395,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,A.J. Green18
327,339,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,A.J. Green
328,339,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,A.J. Green18
329,413,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,A.J. Green
330,413,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,A.J. Green18
331,526,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,A.J. Green
332,526,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,A.J. Green18
333,178,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Kemon Hall37
334,784,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Kemon Hall37
335,749,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Kemon Hall37
336,692,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Kemon Hall37
