,Rank,REC,REC_TGT,REC_YDS,REC_Y/R,REC_LG,REC_20+,REC_TD,RUSH_ATT,RUSH_YDS,RUSH_TD,FL,G,FPTS,FPTS/G,OWN,Year,PlayerID
120,84,36,73,453,12.6,61,7,2,2,21,0,2,16,91.4,5.7,0.0%,2014,Andre Roberts18
121,142,11,21,135,12.3,38,1,0,0,0,0,0,9,13.5,1.5,0.0%,2015,Andre Roberts18
122,124,14,25,188,13.4,44,3,1,0,0,0,1,16,22.8,1.4,0.0%,2016,Andre Roberts18
123,573,1,4,12,12.0,12,0,0,0,0,0,1,16,-0.8,-0.1,0.0%,2017,Andre Roberts18
124,154,10,18,79,7.9,20,1,1,2,20,0,1,16,13.9,0.9,0.0%,2018,Andre Roberts18
125,182,3,7,20,6.7,7,0,0,1,7,0,0,13,2.7,0.2,0.0%,2019,Andre Roberts18
126,73,41,99,465,11.3,47,4,2,0,0,0,0,16,99.5,6.2,0.0%,2013,Greg Little74
127,155,6,12,69,11.5,21,1,0,0,0,0,0,6,12.9,2.2,0.0%,2014,Greg Little74
128,86,39,54,368,9.4,23,2,2,0,0,0,0,14,87.8,6.3,11.9%,2013,Cole Beasley10
129,76,37,49,420,11.4,45,4,4,0,0,0,2,16,99.0,6.2,11.9%,2014,Cole Beasley10
130,56,52,75,536,10.3,30,7,5,0,0,0,2,16,79.6,5.0,11.9%,2015,Cole Beasley10
131,39,75,98,833,11.1,47,6,5,1,7,0,0,16,114.0,7.1,11.9%,2016,Cole Beasley10
132,71,36,63,314,8.7,54,2,4,0,0,0,0,15,55.4,3.7,11.9%,2017,Cole Beasley10
133,53,65,86,672,10.3,32,3,3,0,0,0,0,16,85.2,5.3,11.9%,2018,Cole Beasley10
134,35,67,106,778,11.6,51,10,6,0,0,0,0,15,117.8,7.9,11.9%,2019,Cole Beasley10
135,100,17,32,283,16.6,59,5,3,3,13,0,1,12,64.6,5.4,1.1%,2013,Marquise Goodwin1
136,168,1,9,42,42.0,42,1,0,3,8,0,0,10,6.0,0.6,1.1%,2014,Marquise Goodwin1
137,176,2,2,24,12.0,14,0,0,0,0,0,0,2,2.4,1.2,1.1%,2015,Marquise Goodwin1
138,83,29,68,431,14.9,84,3,3,0,0,0,0,15,61.1,4.1,1.1%,2016,Marquise Goodwin1
139,29,56,105,962,17.2,83,13,2,4,44,0,0,16,112.6,7.0,1.1%,2017,Marquise Goodwin1
140,77,23,43,395,17.2,67,5,4,4,9,0,0,11,64.4,5.9,1.1%,2018,Marquise Goodwin1
141,120,12,21,186,15.5,38,3,1,1,15,0,0,9,26.1,2.9,1.1%,2019,Marquise Goodwin1
142,108,22,40,216,9.8,28,1,2,0,0,0,0,6,55.6,9.3,0.0%,2013,Mike Williams81
143,280,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,51.4%,2013,Mike Williams81
144,125,8,19,142,17.8,80,2,1,0,0,0,0,9,28.2,3.1,0.0%,2014,Mike Williams81
145,280,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,51.4%,2014,Mike Williams81
146,267,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,51.4%,2015,Mike Williams81
147,282,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,51.4%,2016,Mike Williams81
148,147,11,23,95,8.6,20,1,0,0,0,0,0,10,9.5,1.0,51.4%,2017,Mike Williams81
149,20,43,66,664,15.4,55,11,10,7,28,1,0,16,137.2,8.6,51.4%,2018,Mike Williams81
150,37,49,90,1001,20.4,56,17,2,1,2,0,0,15,112.3,7.5,51.4%,2019,Mike Williams81
151,126,12,27,113,9.4,16,0,0,2,23,0,0,10,25.6,2.6,0.0%,2013,Kyle Williams
152,368,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Kyle Williams
153,366,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Kyle Williams
154,365,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2015,Kyle Williams
155,528,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2015,Kyle Williams
156,200,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2016,Kyle Williams
157,514,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2016,Kyle Williams
158,275,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Kyle Williams
159,321,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Kyle Williams
160,320,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Kyle Williams
161,139,5,13,105,21.0,39,4,0,1,45,0,1,8,20.0,2.5,0.1%,2013,Travis Benjamin17
162,94,18,46,314,17.4,43,8,3,3,11,0,0,16,68.5,4.3,0.1%,2014,Travis Benjamin17
163,30,68,125,966,14.2,61,12,5,4,12,0,2,16,123.8,7.7,0.1%,2015,Travis Benjamin17
164,58,47,75,677,14.4,54,10,4,2,-3,0,3,14,85.4,6.1,0.1%,2016,Travis Benjamin17
165,44,34,65,567,16.7,62,10,4,13,96,0,0,16,90.3,5.6,0.1%,2017,Travis Benjamin17
166,122,12,24,186,15.5,46,4,1,7,41,0,0,12,28.7,2.4,0.1%,2018,Travis Benjamin17
167,179,6,16,30,5.0,13,0,0,0,0,0,0,5,3.0,0.6,0.1%,2019,Travis Benjamin17
168,164,3,11,15,5.0,6,0,0,0,0,0,0,5,6.5,1.3,0.0%,2013,Nick Williams97
169,111,17,25,159,9.4,29,2,2,0,0,0,0,14,27.9,2.0,0.0%,2015,Nick Williams97
170,169,5,7,59,11.8,19,0,0,0,0,0,0,2,5.9,3.0,0.0%,2016,Nick Williams97
171,177,3,4,30,10.0,14,0,0,0,0,0,0,1,3.0,3.0,0.0%,2017,Nick Williams97
172,189,2,5,17,8.5,11,0,0,0,0,0,0,4,1.7,0.4,0.0%,2018,Nick Williams97
173,184,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.7%,2013,Zach Pascal14
174,260,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.7%,2014,Zach Pascal14
175,193,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.7%,2015,Zach Pascal14
176,237,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.7%,2016,Zach Pascal14
177,236,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.7%,2017,Zach Pascal14
178,100,27,46,268,9.9,28,1,2,2,10,0,0,16,39.8,2.5,2.7%,2018,Zach Pascal14
179,48,41,72,607,14.8,37,11,5,2,16,0,0,16,94.3,5.9,2.7%,2019,Zach Pascal14
