,Name,"('Unnamed: 0_level_0', 'GP')","('Touchdowns', 'RUSH')","('Touchdowns', 'REC')","('Touchdowns', 'RET')","('Touchdowns', 'TD')","('Scoring', 'FG')","('Scoring', 'PAT')","('Scoring', '2PT')","('Scoring', 'PTS')","('Scoring', 'TP/G')",class,team
20,Allen Hurns WR,14,0,2,0,2,0,0,0,12,0.9,Scoring,Dolphins
21,Jakeem Grant WR,10,1,0,1,2,0,0,0,12,1.2,Scoring,Dolphins
22,Patrick Laird RB,15,1,0,0,1,0,0,1,8,0.5,Scoring,Dolphins
23,Albert Wilson WR,13,0,1,0,1,0,0,0,6,0.5,Scoring,Dolphins
24,Eric Rowe CB,16,0,0,1,1,0,0,0,6,0.4,Scoring,Dolphins
25,Christian Wilkins DT,16,0,1,0,1,0,0,0,6,0.4,Scoring,Dolphins
26,Myles Gaskin RB,7,1,0,0,1,0,0,0,6,0.9,Scoring,Dolphins
27,Nick Folk PK,7,0,0,0,0,14,12,0,54,7.7,Scoring,Patriots
28,Sony Michel RB,16,7,0,0,7,0,0,0,42,2.6,Scoring,Patriots
29,James White RB,15,1,5,0,6,0,0,1,38,2.5,Scoring,Patriots
30,Julian Edelman WR,16,0,6,0,6,0,0,1,38,2.4,Scoring,Patriots
31,Stephen Gostkowski PK,4,0,0,0,0,7,11,0,32,8.0,Scoring,Patriots
32,Mike Nugent PK,4,0,0,0,0,5,15,0,30,7.5,Scoring,Patriots
33,Phillip Dorsett II WR,14,0,5,0,5,0,0,0,30,2.1,Scoring,Patriots
34,Brandon Bolden RB,15,3,1,0,4,0,0,0,24,1.6,Scoring,Patriots
35,Tom Brady QB,16,3,0,0,3,0,0,0,18,1.1,Scoring,Patriots
36,Rex Burkhead RB,13,3,0,0,3,0,0,0,18,1.4,Scoring,Patriots
37,Stephon Gilmore CB,16,0,0,2,2,0,0,0,12,0.8,Scoring,Patriots
38,N'Keal Harry WR,7,0,2,0,2,0,0,0,12,1.7,Scoring,Patriots
39,Kyle Van Noy LB,15,0,0,1,1,0,0,0,6,0.4,Scoring,Patriots
40,Matt LaCosse TE,11,0,1,0,1,0,0,0,6,0.5,Scoring,Patriots
41,Ryan Izzo TE,6,0,1,0,1,0,0,0,6,1.0,Scoring,Patriots
42,Mohamed Sanu Sr. WR,8,0,1,0,1,0,0,0,6,0.8,Scoring,Patriots
43,Dont'a Hightower LB,15,0,0,1,1,0,0,0,6,0.4,Scoring,Patriots
44,Jamie Collins Sr. LB,16,0,0,1,1,0,0,0,6,0.4,Scoring,Patriots
45,Josh Gordon WR,6,0,1,0,1,0,0,0,6,1.0,Scoring,Patriots
46,Chase Winovich DE,16,0,0,1,1,0,0,0,6,0.4,Scoring,Patriots
47,Antonio Brown WR,1,0,1,0,1,0,0,0,6,6.0,Scoring,Patriots
