,Name,Height,Height Percentile,Weight,Weight Percentile,Forty Yard Dash,Forty Yard Dash Percentile,Shuttle Time,Shuttle TIme Percentile,Cone Drill,Cone Drill Percentile,Vertical Jump,Vertical Jump Percentile,Broad Jump,Broad Jump Percentile,Bench Press,Bench Press Percentile,Hand Length,Hand Length Percentil,Arm Length,Arm Length Percentile
6262,Cornelius Brown,"5' 11""",50%,198 lbs,75%,4.59 sec,18%,4.34 sec,14%,6.87 sec,40%,31.5 in,9%,118 in,30%,11 reps,15%,NaN,NaN,NaN,NaN
6270,Jeremy Clark,"6' 3""",20%,306 lbs,100%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20 reps,20%,9.32 in,13%,32.67 in,13%
6272,Bryan Mattison,"6' 3""",30%,310 lbs,80%,5.05 sec,85%,4.70 sec,40%,7.61 sec,87%,24.5 in,10%,112 in,98%,26 reps,40%,NaN,NaN,NaN,NaN
6277,Lee Robinson,"6' 2""",50%,253 lbs,91%,4.71 sec,50%,4.67 sec,3%,7.57 sec,1%,32.5 in,35%,113 in,30%,24 reps,60%,NaN,NaN,NaN,NaN
6284,Corvey Irvin,"6' 2""",20%,295 lbs,20%,4.96 sec,81%,4.73 sec,35%,7.44 sec,63%,24.5 in,9%,97 in,9%,24 reps,20%,NaN,NaN,NaN,NaN
6285,Caleb Campbell,"6' 2""",50%,237 lbs,30%,4.57 sec,85%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24 reps,60%,NaN,NaN,NaN,NaN
6293,Curtis Gatewood,"6' 3""",70%,250 lbs,86%,4.72 sec,48%,4.22 sec,70%,6.90 sec,89%,28.5 in,7%,111 in,20%,22 reps,45%,NaN,NaN,NaN,NaN
6294,Steve Octavien,"6' 0""",7%,238 lbs,33%,4.67 sec,60%,NaN,NaN,NaN,NaN,29.5 in,9%,118 in,60%,26 reps,75%,NaN,NaN,NaN,NaN
6296,Tony Carter,"5' 9""",10%,175 lbs,5%,4.41 sec,77%,4.19 sec,42%,7.18 sec,6%,39.0 in,83%,120 in,40%,17 reps,70%,NaN,NaN,NaN,NaN
6298,Andrew Luck,"6' 4""",70%,240 lbs,91%,4.59 sec,88%,4.28 sec,63%,6.80 sec,89%,36.0 in,92%,124 in,96%,NaN,NaN,10.00 in,70%,32.68 in,67%
6302,A.J. Green,"6' 4""",90%,210 lbs,67%,4.48 sec,60%,4.21 sec,55%,6.91 sec,48%,34.5 in,40%,126 in,85%,18 reps,75%,9.25 in,50%,34.38 in,93%
6303,Julio Jones,"6' 3""",80%,220 lbs,87%,4.34 sec,92%,4.25 sec,43%,6.66 sec,88%,38.5 in,87%,135 in,97%,17 reps,70%,9.75 in,80%,33.75 in,90%
6304,Ryan Mallett,"6' 6""",90%,250 lbs,95%,NaN,NaN,NaN,NaN,NaN,NaN,24.0 in,5%,103 in,13%,NaN,NaN,10.75 in,100%,34.38 in,94%
6305,Mark Ingram,"5' 9""",20%,215 lbs,55%,4.62 sec,30%,4.62 sec,4%,7.13 sec,27%,31.5 in,17%,113 in,25%,21 reps,60%,9.50 in,70%,30.75 in,50%
6307,Kyle Rudolph,"6' 6""",80%,265 lbs,88%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.75 in,97%,34.00 in,80%
6308,Tandon Doss,"6' 2""",60%,205 lbs,53%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14 reps,40%,10.13 in,92%,31.25 in,23%
6309,Blaine Gabbert,"6' 4""",70%,235 lbs,86%,4.61 sec,86%,4.26 sec,66%,NaN,NaN,33.5 in,80%,120 in,91%,NaN,NaN,10.00 in,70%,33.00 in,80%
6310,Jordan Todman,"5' 10""",50%,200 lbs,17%,4.40 sec,90%,4.18 sec,70%,7.24 sec,8%,38.0 in,90%,126 in,91%,25 reps,85%,9.38 in,60%,32.00 in,85%
6311,Shane Vereen,"5' 10""",50%,205 lbs,26%,4.49 sec,70%,4.28 sec,42%,6.95 sec,60%,34.0 in,40%,115 in,35%,31 reps,95%,9.00 in,30%,30.68 in,47%
6312,Torrey Smith,"6' 0""",30%,205 lbs,53%,4.41 sec,80%,4.13 sec,75%,6.72 sec,79%,41.0 in,95%,126 in,85%,19 reps,80%,8.50 in,10%,32.50 in,57%
6314,Jacquizz Rodgers,"5' 6""",0%,205 lbs,26%,4.59 sec,36%,4.26 sec,46%,7.31 sec,3%,33.0 in,30%,113 in,25%,NaN,NaN,8.88 in,25%,30.50 in,40%
6315,Mikel Leshoure,"6' 0""",80%,227 lbs,82%,4.56 sec,43%,4.40 sec,20%,NaN,NaN,38.0 in,90%,122 in,80%,21 reps,60%,9.50 in,70%,32.63 in,93%
6316,Jon Baldwin,"6' 4""",90%,230 lbs,94%,4.49 sec,55%,4.34 sec,26%,7.07 sec,20%,42.0 in,98%,129 in,92%,20 reps,90%,10.13 in,92%,33.50 in,85%
6317,Randall Cobb,"5' 10""",10%,192 lbs,28%,4.46 sec,67%,4.34 sec,26%,7.08 sec,18%,33.5 in,30%,115 in,20%,16 reps,60%,9.38 in,60%,31.00 in,17%
6318,Cam Newton,"6' 5""",80%,245 lbs,93%,4.56 sec,91%,4.18 sec,77%,6.92 sec,82%,35.0 in,90%,126 in,98%,NaN,NaN,9.88 in,60%,33.75 in,88%
6319,Nick Fairley,"6' 4""",60%,308 lbs,63%,4.87 sec,91%,4.56 sec,68%,7.14 sec,94%,31.0 in,73%,113 in,90%,NaN,NaN,9.75 in,40%,34.75 in,85%
6340,Josh Pinkard,"6' 1""",70%,218 lbs,98%,4.58 sec,20%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6346,Albert McClellan,"6' 2""",50%,235 lbs,20%,4.75 sec,40%,4.21 sec,72%,7.24 sec,36%,36.5 in,75%,119 in,70%,26 reps,75%,NaN,NaN,NaN,NaN
6351,Da'Quan Bowers,"6' 4""",60%,280 lbs,7%,4.64 sec,100%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22 reps,10%,10.25 in,70%,33.13 in,38%
6356,DeAngelo Smith,"6' 11""",100%,200 lbs,82%,4.50 sec,43%,4.35 sec,13%,7.27 sec,3%,31.5 in,9%,109 in,2%,17 reps,70%,NaN,NaN,NaN,NaN
6361,Patrick Peterson,"6' 1""",70%,203 lbs,88%,4.31 sec,95%,4.07 sec,70%,6.58 sec,92%,38.0 in,77%,126 in,75%,15 reps,50%,9.25 in,60%,32.00 in,70%
6374,Joe West,"6' 1""",40%,208 lbs,60%,4.57 sec,25%,4.33 sec,28%,6.96 sec,38%,32.0 in,13%,113 in,9%,20 reps,90%,NaN,NaN,NaN,NaN
6377,Jeff Hansen,"6' 4""",40%,301 lbs,10%,5.50 sec,13%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33 reps,88%,9.25 in,7%,32.75 in,20%
6382,Nick Polk,"5' 11""",20%,218 lbs,84%,4.55 sec,57%,NaN,NaN,NaN,NaN,38.0 in,80%,121 in,60%,14 reps,20%,NaN,NaN,NaN,NaN
6384,J.J. Watt,"6' 5""",70%,288 lbs,91%,4.81 sec,53%,4.21 sec,88%,6.88 sec,97%,37.0 in,90%,120 in,80%,34 reps,92%,NaN,NaN,NaN,NaN
6385,Taiwan Jones,"6' 0""",80%,195 lbs,10%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13 reps,7%,8.75 in,20%,29.50 in,18%
6387,Ezra Butler,"6' 2""",10%,248 lbs,9%,4.65 sec,87%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6392,Stephen Paea,"6' 1""",10%,300 lbs,30%,4.98 sec,77%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49 reps,100%,10.00 in,50%,32.88 in,34%
6401,Chris Carter,"6' 0""",30%,195 lbs,34%,4.58 sec,20%,4.34 sec,26%,6.88 sec,53%,36.0 in,60%,114 in,10%,27 reps,100%,NaN,NaN,NaN,NaN
6405,Jake Locker,"6' 3""",60%,223 lbs,50%,4.59 sec,88%,4.12 sec,87%,6.77 sec,92%,35.0 in,90%,120 in,91%,NaN,NaN,9.60 in,48%,31.60 in,27%
6408,Christian Ponder,"6' 2""",30%,230 lbs,73%,4.63 sec,84%,4.09 sec,91%,NaN,NaN,34.0 in,83%,116 in,83%,NaN,NaN,10.25 in,80%,32.13 in,45%
6411,Allen Bradford,"5' 11""",3%,235 lbs,20%,4.53 sec,91%,4.39 sec,28%,NaN,NaN,29.0 in,8%,113 in,30%,28 reps,85%,9.38 in,30%,32.50 in,47%
6414,Colin Kaepernick,"6' 5""",80%,230 lbs,73%,4.53 sec,92%,4.18 sec,77%,6.85 sec,86%,32.5 in,65%,115 in,80%,NaN,NaN,9.13 in,10%,33.50 in,85%
6416,Andy Dalton,"6' 2""",30%,220 lbs,37%,4.87 sec,37%,4.27 sec,64%,6.93 sec,81%,29.5 in,30%,106 in,25%,NaN,NaN,9.50 in,40%,31.75 in,30%
6417,Pat Devlin,"6' 3""",60%,225 lbs,60%,4.81 sec,53%,4.32 sec,57%,NaN,NaN,33.0 in,70%,116 in,83%,NaN,NaN,9.88 in,60%,32.00 in,40%
6418,Tyrod Taylor,"6' 1""",10%,217 lbs,27%,4.47 sec,96%,4.09 sec,91%,NaN,NaN,37.5 in,95%,126 in,98%,NaN,NaN,10.00 in,70%,32.25 in,50%
6419,Kendall Hunter,"5' 7""",5%,199 lbs,15%,4.46 sec,78%,4.21 sec,60%,6.74 sec,91%,35.0 in,60%,122 in,80%,24 reps,80%,8.75 in,20%,31.00 in,60%
6420,DeMarco Murray,"6' 1""",90%,220 lbs,70%,4.37 sec,92%,4.18 sec,70%,7.28 sec,5%,34.5 in,50%,130 in,96%,21 reps,60%,9.25 in,50%,32.00 in,85%
6421,Daniel Thomas,"6' 2""",93%,235 lbs,91%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6422,Stevan Ridley,"5' 11""",60%,220 lbs,70%,4.65 sec,22%,4.21 sec,60%,6.78 sec,90%,36.0 in,70%,118 in,50%,18 reps,30%,9.25 in,50%,31.88 in,83%
6425,Dion Lewis,"5' 8""",10%,195 lbs,10%,4.56 sec,43%,4.18 sec,70%,NaN,NaN,34.5 in,50%,112 in,20%,17 reps,20%,8.75 in,20%,28.13 in,14%
6426,Delone Carter,"5' 9""",20%,225 lbs,78%,4.54 sec,50%,4.07 sec,91%,NaN,NaN,37.0 in,83%,120 in,65%,27 reps,91%,9.50 in,70%,31.00 in,60%
6427,Roy Helu,"5' 11""",60%,215 lbs,55%,4.40 sec,90%,4.01 sec,95%,6.67 sec,94%,36.5 in,80%,119 in,60%,11 reps,3%,10.25 in,100%,31.38 in,75%
6428,Bilal Powell,"5' 10""",50%,204 lbs,24%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18 reps,30%,8.75 in,20%,30.88 in,55%
6430,Evan Royster,"6' 1""",90%,216 lbs,58%,4.65 sec,22%,4.18 sec,70%,7.07 sec,40%,34.0 in,40%,113 in,25%,20 reps,50%,9.25 in,50%,30.75 in,50%
6433,Alex Green,"6' 0""",80%,220 lbs,70%,4.45 sec,80%,4.15 sec,77%,NaN,NaN,34.0 in,40%,114 in,30%,20 reps,50%,9.13 in,40%,32.00 in,85%
6439,Henry Hynoski,"6' 1""",30%,266 lbs,100%,5.06 sec,0%,NaN,NaN,NaN,NaN,30.5 in,30%,111 in,50%,24 reps,60%,9.68 in,82%,31.38 in,10%
6440,Titus Young,"5' 11""",20%,174 lbs,6%,4.43 sec,75%,NaN,NaN,NaN,NaN,NaN,NaN,123 in,70%,NaN,NaN,9.00 in,20%,30.88 in,13%
6441,Jerrel Jernigan,"5' 8""",6%,189 lbs,22%,4.46 sec,67%,4.25 sec,43%,7.07 sec,20%,37.5 in,80%,117 in,30%,11 reps,20%,9.25 in,50%,32.00 in,40%
6442,Leonard Hankerson,"6' 2""",60%,211 lbs,70%,4.40 sec,82%,4.21 sec,55%,6.94 sec,42%,36.0 in,60%,117 in,30%,14 reps,40%,10.63 in,98%,32.50 in,57%
6443,Greg Little,"6' 2""",60%,220 lbs,87%,4.60 sec,15%,4.21 sec,55%,6.80 sec,70%,40.5 in,94%,129 in,92%,27 reps,100%,9.13 in,40%,33.25 in,80%
6444,Clyde Gates,"6' 0""",30%,197 lbs,38%,4.49 sec,55%,NaN,NaN,NaN,NaN,40.0 in,93%,131 in,93%,16 reps,60%,NaN,NaN,NaN,NaN
6445,Niles Paul,"6' 1""",0%,242 lbs,10%,4.45 sec,95%,4.14 sec,92%,6.90 sec,95%,34.5 in,70%,117 in,70%,24 reps,80%,8.88 in,4%,31.00 in,0%
6446,Dwayne Harris,"5' 10""",10%,215 lbs,80%,4.53 sec,40%,4.21 sec,55%,6.77 sec,73%,34.0 in,35%,111 in,7%,10 reps,10%,10.13 in,92%,31.13 in,20%
6447,Vincent Brown,"5' 11""",20%,190 lbs,24%,4.68 sec,6%,4.25 sec,43%,6.64 sec,90%,33.5 in,30%,121 in,60%,12 reps,25%,10.25 in,93%,33.00 in,70%
6449,Greg Salas,"6' 2""",60%,210 lbs,67%,4.53 sec,40%,4.10 sec,82%,6.65 sec,90%,37.0 in,75%,120 in,50%,15 reps,50%,9.25 in,50%,32.00 in,40%
6450,Cecil Shorts,"6' 0""",30%,202 lbs,47%,4.50 sec,50%,4.07 sec,88%,6.50 sec,94%,34.5 in,40%,114 in,10%,21 reps,91%,9.25 in,50%,31.68 in,34%
6451,Austin Pettis,"6' 3""",80%,203 lbs,48%,4.56 sec,30%,3.88 sec,100%,6.68 sec,85%,33.5 in,30%,120 in,50%,14 reps,40%,9.75 in,80%,31.75 in,35%
6452,Terrence Toliver,"6' 5""",93%,204 lbs,50%,4.52 sec,43%,4.03 sec,92%,6.48 sec,95%,32.0 in,13%,122 in,65%,NaN,NaN,10.00 in,90%,32.00 in,40%
6453,Jeremy Kerley,"5' 9""",8%,188 lbs,20%,4.56 sec,30%,NaN,NaN,NaN,NaN,34.5 in,40%,120 in,50%,16 reps,60%,9.00 in,20%,30.00 in,7%
6454,Armon Binns,"6' 3""",80%,211 lbs,70%,4.50 sec,50%,4.31 sec,32%,6.86 sec,57%,31.5 in,10%,118 in,40%,13 reps,30%,9.50 in,70%,32.50 in,57%
6455,Stephen Burton,"6' 1""",40%,220 lbs,87%,4.50 sec,50%,4.31 sec,32%,7.04 sec,25%,34.5 in,40%,117 in,30%,19 reps,80%,9.13 in,40%,32.00 in,40%
6456,Lestar Jean,"6' 3""",80%,202 lbs,47%,4.61 sec,12%,4.43 sec,11%,7.45 sec,0%,37.5 in,80%,113 in,9%,14 reps,40%,9.00 in,20%,33.00 in,70%
6459,Denarius Moore,"6' 0""",30%,190 lbs,24%,4.43 sec,75%,4.15 sec,70%,6.78 sec,72%,36.0 in,60%,118 in,40%,13 reps,30%,9.50 in,70%,33.00 in,70%
6460,Aldrick Robinson,"5' 10""",10%,185 lbs,15%,4.35 sec,91%,4.09 sec,84%,6.65 sec,90%,40.0 in,93%,126 in,85%,17 reps,70%,8.75 in,15%,29.50 in,5%
6462,Jamel Hamler,"6' 2""",60%,195 lbs,34%,4.68 sec,6%,4.18 sec,63%,7.16 sec,9%,32.0 in,13%,112 in,8%,4 reps,0%,NaN,NaN,NaN,NaN
6463,Jeff Maehl,"6' 0""",30%,184 lbs,13%,4.56 sec,30%,3.94 sec,97%,6.42 sec,97%,33.5 in,30%,115 in,20%,NaN,NaN,9.13 in,40%,31.50 in,30%
6466,Andre Holmes,"6' 4""",90%,210 lbs,67%,4.61 sec,12%,4.31 sec,32%,6.69 sec,83%,35.0 in,50%,130 in,93%,11 reps,20%,34.00 in,100%,NaN,NaN
6469,Joseph Morgan,"6' 1""",40%,184 lbs,13%,4.48 sec,60%,4.25 sec,43%,6.91 sec,48%,35.5 in,55%,123 in,70%,10 reps,10%,NaN,NaN,NaN,NaN
6470,Jock Sanders,"5' 7""",4%,179 lbs,9%,4.50 sec,50%,4.13 sec,75%,6.78 sec,72%,34.5 in,40%,121 in,60%,19 reps,80%,8.88 in,18%,28.25 in,0%
6472,Ryan Whalen,"6' 1""",40%,200 lbs,43%,4.53 sec,40%,4.09 sec,84%,6.67 sec,87%,38.5 in,87%,123 in,70%,18 reps,75%,9.00 in,20%,30.00 in,7%
6473,Lance Kendricks,"6' 3""",10%,250 lbs,37%,4.75 sec,50%,4.15 sec,91%,6.94 sec,93%,34.5 in,70%,122 in,90%,25 reps,83%,9.60 in,19%,32.00 in,10%
6474,Luke Stocker,"6' 5""",60%,253 lbs,47%,4.79 sec,38%,4.40 sec,50%,7.03 sec,90%,33.0 in,50%,115 in,60%,27 reps,90%,9.75 in,40%,33.00 in,30%
6475,D.J. Williams,"6' 2""",0%,245 lbs,18%,4.59 sec,83%,4.51 sec,27%,7.29 sec,24%,33.5 in,60%,111 in,25%,20 reps,40%,10.38 in,85%,31.50 in,0%
6476,Julius Thomas,"6' 5""",60%,262 lbs,82%,4.64 sec,77%,4.31 sec,70%,6.96 sec,93%,35.5 in,80%,111 in,25%,16 reps,10%,10.25 in,80%,33.00 in,30%
6478,Adrian Clayborn,"6' 3""",20%,280 lbs,84%,4.78 sec,62%,4.13 sec,92%,7.30 sec,30%,33.0 in,50%,113 in,43%,NaN,NaN,9.75 in,30%,32.50 in,10%
6479,Robert Quinn,"6' 4""",50%,257 lbs,22%,4.62 sec,91%,4.40 sec,55%,7.13 sec,64%,34.0 in,60%,116 in,55%,22 reps,40%,10.13 in,70%,34.00 in,60%
6482,Von Miller,"6' 3""",70%,250 lbs,86%,4.42 sec,99%,4.06 sec,93%,6.70 sec,100%,37.0 in,80%,126 in,92%,21 reps,40%,NaN,NaN,NaN,NaN
6483,Rob Housler,"6' 5""",60%,250 lbs,37%,4.55 sec,88%,4.21 sec,86%,6.90 sec,95%,37.0 in,88%,117 in,70%,22 reps,60%,9.75 in,40%,34.50 in,90%
6485,Charles Clay,"6' 3""",10%,246 lbs,20%,4.69 sec,67%,4.15 sec,91%,7.07 sec,82%,33.5 in,60%,118 in,75%,18 reps,20%,9.63 in,30%,33.00 in,30%
6486,Lee Smith,"6' 6""",80%,265 lbs,88%,5.01 sec,6%,4.28 sec,77%,7.13 sec,47%,29.0 in,15%,108 in,10%,25 reps,83%,9.75 in,40%,34.38 in,88%
6487,Jordan Cameron,"6' 5""",60%,265 lbs,88%,4.53 sec,90%,4.03 sec,100%,6.82 sec,98%,37.5 in,90%,119 in,80%,23 reps,70%,9.75 in,40%,33.50 in,63%
6507,Aldon Smith,"6' 4""",50%,265 lbs,47%,4.74 sec,70%,4.50 sec,35%,7.19 sec,47%,34.0 in,60%,118 in,70%,20 reps,20%,9.75 in,30%,35.38 in,91%
6508,Cameron Jordan,"6' 4""",50%,287 lbs,91%,4.74 sec,70%,4.37 sec,65%,7.07 sec,80%,31.0 in,30%,117 in,60%,25 reps,60%,11.13 in,100%,35.00 in,87%
6509,Ryan Kerrigan,"6' 4""",90%,265 lbs,97%,4.67 sec,60%,4.39 sec,28%,7.18 sec,46%,33.5 in,50%,122 in,83%,31 reps,92%,9.50 in,40%,33.38 in,85%
6510,Cameron Heyward,"6' 5""",90%,295 lbs,20%,4.95 sec,82%,NaN,NaN,NaN,NaN,30.0 in,60%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6511,Allen Bailey,"6' 3""",20%,288 lbs,91%,4.71 sec,78%,4.56 sec,28%,7.43 sec,14%,36.5 in,87%,117 in,60%,27 reps,75%,NaN,NaN,NaN,NaN
6512,Brooks Reed,"6' 3""",70%,254 lbs,91%,4.65 sec,67%,4.28 sec,60%,7.11 sec,56%,30.5 in,15%,113 in,30%,30 reps,91%,NaN,NaN,NaN,NaN
6513,Jabaal Sheard,"6' 3""",20%,265 lbs,47%,4.68 sec,83%,NaN,NaN,NaN,NaN,31.0 in,30%,115 in,50%,NaN,NaN,NaN,NaN,NaN,NaN
6515,Sam Acho,"6' 2""",50%,258 lbs,93%,4.68 sec,58%,4.32 sec,45%,6.69 sec,100%,33.5 in,50%,112 in,25%,23 reps,50%,9.75 in,60%,33.50 in,90%
6516,Jeremy Beal,"6' 3""",20%,267 lbs,53%,5.14 sec,3%,4.46 sec,42%,7.19 sec,47%,28.5 in,10%,106 in,10%,22 reps,40%,NaN,NaN,NaN,NaN
6517,Cliff Matthews,"6' 4""",50%,268 lbs,55%,4.81 sec,53%,4.37 sec,65%,7.21 sec,40%,32.0 in,40%,112 in,40%,17 reps,8%,NaN,NaN,NaN,NaN
6518,Pernell McPhee,"6' 3""",70%,265 lbs,97%,4.91 sec,9%,4.59 sec,7%,7.13 sec,53%,28.5 in,7%,107 in,9%,20 reps,30%,NaN,NaN,NaN,NaN
6519,Pierre Allen,"6' 5""",70%,265 lbs,47%,4.78 sec,62%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6520,Ugo Chinasa,"6' 5""",70%,255 lbs,18%,4.63 sec,90%,4.39 sec,60%,7.07 sec,80%,28.0 in,9%,117 in,60%,22 reps,40%,NaN,NaN,NaN,NaN
6523,Marcell Dareus,"6' 3""",40%,331 lbs,91%,4.39 sec,100%,4.62 sec,55%,7.83 sec,19%,27.0 in,30%,106 in,55%,24 reps,20%,10.13 in,65%,33.38 in,45%
6524,Corey Liuget,"6' 2""",20%,300 lbs,30%,4.97 sec,80%,4.68 sec,45%,7.48 sec,53%,27.5 in,35%,102 in,27%,27 reps,40%,NaN,NaN,NaN,NaN
6525,Muhammad Wilkerson,"6' 4""",50%,315 lbs,100%,4.96 sec,18%,4.59 sec,25%,7.31 sec,29%,26.0 in,4%,106 in,10%,27 reps,75%,NaN,NaN,NaN,NaN
6526,Christian Ballard,"6' 4""",60%,284 lbs,8%,4.75 sec,100%,4.51 sec,77%,7.54 sec,45%,31.5 in,77%,111 in,85%,NaN,NaN,10.13 in,65%,33.00 in,36%
6527,Phil Taylor,"6' 3""",40%,343 lbs,94%,5.09 sec,50%,4.77 sec,23%,7.75 sec,24%,29.5 in,55%,100 in,20%,31 reps,70%,NaN,NaN,NaN,NaN
6528,Marvin Austin,"6' 2""",20%,312 lbs,73%,4.84 sec,94%,4.40 sec,91%,7.33 sec,78%,30.5 in,70%,112 in,88%,38 reps,92%,NaN,NaN,NaN,NaN
6529,Drake Nevis,"6' 1""",10%,310 lbs,70%,5.06 sec,60%,4.65 sec,50%,7.71 sec,26%,30.5 in,70%,112 in,88%,31 reps,70%,NaN,NaN,NaN,NaN
6530,Jurrell Casey,"6' 1""",0%,305 lbs,99%,5.04 sec,8%,4.78 sec,9%,7.51 sec,9%,27.5 in,8%,101 in,0%,26 reps,70%,NaN,NaN,NaN,NaN
6531,Jarvis Jenkins,"6' 4""",50%,300 lbs,97%,5.08 sec,6%,4.83 sec,7%,7.42 sec,16%,26.5 in,5%,98 in,0%,17 reps,8%,9.50 in,20%,33.25 in,35%
6532,Kenrick Ellis,"6' 4""",60%,346 lbs,94%,5.19 sec,30%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26 reps,30%,NaN,NaN,NaN,NaN
6533,Lawrence Guy,"6' 4""",60%,315 lbs,77%,4.96 sec,81%,4.43 sec,90%,7.60 sec,38%,29.0 in,50%,NaN,NaN,28 reps,50%,NaN,NaN,NaN,NaN
6534,Jerrell Powe,"6' 2""",20%,331 lbs,91%,5.25 sec,23%,5.06 sec,5%,8.17 sec,3%,25.0 in,10%,93 in,3%,27 reps,40%,NaN,NaN,NaN,NaN
6535,Terrell McClain,"6' 2""",20%,300 lbs,30%,5.00 sec,72%,4.56 sec,68%,7.48 sec,53%,28.0 in,40%,104 in,45%,29 reps,55%,10.13 in,65%,32.75 in,32%
6536,Akeem Ayers,"6' 3""",70%,247 lbs,80%,4.81 sec,26%,4.28 sec,60%,7.49 sec,6%,31.0 in,20%,116 in,50%,18 reps,15%,NaN,NaN,NaN,NaN
6537,Justin Houston,"6' 3""",20%,258 lbs,24%,4.62 sec,91%,4.37 sec,65%,6.50 sec,100%,36.5 in,87%,125 in,92%,30 reps,85%,NaN,NaN,NaN,NaN
6538,Bruce Carter,"6' 2""",50%,240 lbs,40%,4.57 sec,85%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25 reps,70%,9.25 in,20%,32.63 in,50%
6539,Mason Foster,"6' 1""",10%,250 lbs,86%,4.75 sec,40%,4.45 sec,17%,7.14 sec,52%,31.0 in,20%,110 in,15%,22 reps,45%,9.63 in,50%,31.00 in,10%
6540,Mark Herzlich,"6' 4""",90%,246 lbs,75%,4.96 sec,7%,4.46 sec,16%,7.32 sec,25%,32.5 in,35%,112 in,25%,29 reps,90%,10.00 in,80%,32.38 in,43%
6542,Dontay Moch,"6' 2""",10%,255 lbs,18%,4.40 sec,100%,4.38 sec,62%,7.09 sec,73%,42.0 in,100%,128 in,94%,21 reps,30%,NaN,NaN,NaN,NaN
6543,Colin McCarthy,"6' 1""",10%,243 lbs,60%,4.59 sec,82%,4.20 sec,75%,6.93 sec,84%,36.5 in,75%,119 in,70%,23 reps,50%,NaN,NaN,NaN,NaN
6544,K.J. Wright,"6' 4""",90%,246 lbs,75%,4.75 sec,40%,4.46 sec,16%,7.26 sec,33%,32.0 in,30%,120 in,75%,20 reps,30%,9.00 in,10%,34.88 in,100%
6545,Lawrence Wilson,"6' 1""",10%,229 lbs,9%,4.71 sec,50%,4.50 sec,11%,7.31 sec,26%,32.5 in,35%,113 in,30%,24 reps,60%,NaN,NaN,NaN,NaN
6546,T.J. Yates,"6' 4""",70%,217 lbs,27%,5.06 sec,10%,4.12 sec,87%,NaN,NaN,29.5 in,30%,104 in,17%,NaN,NaN,10.25 in,80%,32.50 in,60%
6548,Doug Hogue,"6' 2""",50%,235 lbs,20%,4.62 sec,75%,4.57 sec,7%,7.09 sec,58%,36.0 in,70%,121 in,80%,18 reps,15%,NaN,NaN,NaN,NaN
6550,Jonas Mouton,"6' 2""",50%,240 lbs,40%,4.84 sec,23%,4.34 sec,40%,7.08 sec,59%,31.5 in,25%,115 in,45%,NaN,NaN,NaN,NaN,NaN,NaN
6551,D.J. Smith,"5' 10""",0%,239 lbs,37%,4.71 sec,50%,4.45 sec,17%,7.35 sec,21%,31.0 in,20%,104 in,9%,20 reps,30%,NaN,NaN,NaN,NaN
6556,Martez Wilson,"6' 4""",90%,252 lbs,90%,4.49 sec,94%,4.28 sec,60%,7.04 sec,68%,36.0 in,70%,124 in,90%,23 reps,50%,9.75 in,60%,34.68 in,99%
6558,Greg Jones,"6' 0""",7%,242 lbs,50%,4.75 sec,40%,4.27 sec,62%,7.27 sec,31%,31.5 in,25%,117 in,55%,21 reps,40%,NaN,NaN,NaN,NaN
6559,Kelvin Sheppard,"6' 2""",50%,249 lbs,84%,4.70 sec,52%,4.28 sec,60%,NaN,NaN,33.5 in,50%,110 in,15%,22 reps,45%,NaN,NaN,NaN,NaN
6560,Nate Irving,"6' 1""",10%,253 lbs,91%,4.74 sec,42%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6561,Casey Matthews,"6' 1""",10%,245 lbs,70%,4.78 sec,30%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13 reps,4%,NaN,NaN,NaN,NaN
6562,Akeem Dent,"6' 1""",10%,250 lbs,86%,4.73 sec,45%,NaN,NaN,NaN,NaN,37.5 in,83%,123 in,87%,24 reps,60%,NaN,NaN,NaN,NaN
